Time (s),Amplitude (V)
0.0,-0.03761810671097643
2e-05,-0.015555549342142878
4e-05,-0.052404584610242964
6.000000000000001e-05,-0.07956811925735303
8e-05,-0.06719093174012421
0.0001,-0.05301642653276091
0.00012000000000000002,-0.05561671055924899
0.00014000000000000001,-0.0712973686936533
0.00016,-0.049334445867280155
0.00018,-0.038355020579800975
0.0002,-0.03795969697421878
0.00022,-0.07630621584837327
0.00024000000000000003,-0.11225631561208649
0.00026000000000000003,-0.13213049183725745
0.00028000000000000003,-0.10517489355340957
0.00030000000000000003,-0.048563734851618426
0.00032,-0.01621616712362447
0.00034,-0.021412239302197218
0.00036,-0.05526530114902269
0.00038,-0.08851923230629336
0.0004,-0.07494338875266364
0.00042,-0.047887716595669455
0.00044,-0.023527992521633612
0.00046,-0.04250321464764024
0.00048000000000000007,-0.08604157062017517
0.0005,-0.09503171857139424
0.0005200000000000001,-0.07806078043100537
0.00054,-0.0582940119501868
0.0005600000000000001,-0.04861208113920136
0.00058,-0.043223681468537875
0.0006000000000000001,-0.07018671595571074
0.00062,-0.09335542295776336
0.00064,-0.11302934558311807
0.0006600000000000001,-0.10863932321722618
0.00068,-0.08208252696587395
0.0007000000000000001,-0.06561056814708034
0.00072,-0.04464532780655399
0.0007400000000000001,-0.044948141998493105
0.00076,-0.03836126985752296
0.0007800000000000001,-0.0579351292497121
0.0008,-0.05094878598842321
0.0008200000000000001,-0.0020253294723212092
0.00084,0.01894010695654101
0.0008600000000000001,-0.033584211491931186
0.00088,-0.10118586701420249
0.0009000000000000001,-0.1475194000553356
0.00092,-0.11487138393162233
0.0009400000000000001,-0.05666166937556643
0.0009600000000000001,-0.0010480344372738627
0.0009800000000000002,0.013926603069811437
0.001,-0.042791210503956956
0.00102,-0.09341811404704632
0.0010400000000000001,-0.09471898436771414
0.0010600000000000002,-0.051686321379249736
0.00108,-0.011948676768950235
0.0011,-0.008656365787251642
0.0011200000000000001,-0.025533729196314258
0.0011400000000000002,-0.02673459319853527
0.00116,-0.05369679226083615
0.00118,-0.08545175504357967
0.0012000000000000001,-0.10322766919263077
0.0012200000000000002,-0.10982032033910472
0.00124,-0.07827015508764842
0.00126,-0.06109840219411379
0.00128,-0.04901897089243154
0.0013000000000000002,-0.03344473918463494
0.0013200000000000002,-0.056512525206788365
0.00134,-0.07498717596456775
0.00136,-0.07359158883384816
0.0013800000000000002,-0.05302473254821437
0.0014000000000000002,-0.05592264394597786
0.00142,-0.045740150658851716
