Time (s),Amplitude (V)
0.0,-0.004489683950883354
2e-05,-0.0014872500076458994
4e-05,-0.01895410456443431
6.000000000000001e-05,-0.008862300074936559
8e-05,-0.021835879287295294
0.0001,-0.031214861783947945
0.00012000000000000002,-0.027313746107365883
0.00014000000000000001,-0.007835995095403829
0.00016,-0.009925897167463688
0.00018,-0.013114144422792736
0.0002,-0.027984852842167087
0.00022,-0.007708277250850505
0.00024000000000000003,-0.010996363658147974
0.00026000000000000003,-0.014683841376623059
0.00028000000000000003,-0.012180597361201908
0.00030000000000000003,-0.003985895016393774
0.00032,-0.0027806970226767714
0.00034,0.0009207629128605908
0.00036,-0.017145120683913686
0.00038,-0.036908450636869566
0.0004,-0.032607875955367724
0.00042,-0.007438607929419574
0.00044,0.0160332137442517
0.00046,-0.01311601172593176
0.00048000000000000007,-0.0077170692555404985
0.0005,-0.010405995716130446
0.0005200000000000001,-0.013694003932167579
0.00054,-0.004999998802891944
0.0005600000000000001,-0.024463744874339045
0.00058,-0.03344320821060098
0.0006000000000000001,-0.004279881582462284
0.00062,-0.008067130538643118
0.00064,0.010212531136817287
0.0006600000000000001,0.0016324817697511845
0.00068,-0.017032430534994737
0.0007000000000000001,-0.026710820511699877
0.00072,-0.03129683841614869
0.0007400000000000001,-0.023401579556268922
0.00076,-0.00811739655943463
0.0007800000000000001,-0.0024188428901520224
0.0008,-0.0019124899830106484
0.0008200000000000001,-0.012090101190018604
0.00084,-0.023366057537056912
0.0008600000000000001,-0.027352957322763098
0.00088,-0.006477130992988491
0.0009000000000000001,-0.001377651203016042
0.00092,-0.00017230221319899843
0.0009400000000000001,-0.013844655432365509
0.0009600000000000001,-0.014037219961985137
0.0009800000000000002,-0.015627672764510707
0.001,-0.02320913286381712
0.00102,-0.001634335658746238
0.0010400000000000001,-0.013709052975635471
0.0010600000000000002,-0.016198146754460244
0.00108,-0.017688724056196262
0.0011,-0.016982612310202202
0.0011200000000000001,-0.016775729598299947
0.0011400000000000002,-0.007083076024022061
0.00116,-0.0038806782402382783
0.00118,-0.003074695527304102
0.0012000000000000001,-0.00925820220559033
0.0012200000000000002,0.0015328193559032127
0.00124,-0.011939759980392473
0.00126,-0.021917565402880073
0.00128,-0.006733116441429444
0.0013000000000000002,-0.017310028788704277
0.0013200000000000002,-0.013208950050169782
0.00134,-0.01749528332826772
0.00136,-0.0109977757748913
0.0013800000000000002,-0.011589640083771084
0.0014000000000000002,0.008787041699023484
0.00142,0.0034023770825920207
0.00144,-0.02055441970208769
0.0014600000000000001,-0.0278362313726609
0.0014800000000000002,-0.007759089264515155
0.0015,0.015413430950645587
0.00152,0.010028789305731148
0.0015400000000000001,-0.01592499342015629
0.0015600000000000002,-0.03169405138756623
0.00158,-0.03238572242754795
0.0016,0.005464807289772081
0.0016200000000000001,0.01096386267691957
0.0016400000000000002,0.0036820924054999857
0.0016600000000000002,0.004987433803352809
0.00168,-0.0017950638469943188
0.0017000000000000001,-0.015567095557180641
0.0017200000000000002,-0.03183536517940554
0.0017400000000000002,-0.020345270280007866
0.00176,0.001529254754265139
0.0017800000000000001,0.007927006254327643
0.0018000000000000002,0.0008449633389897245
0.0018200000000000002,-0.02381069980744032
0.00184,-0.019709501415890868
0.00186,-0.018204393607630803
0.0018800000000000002,-0.010508578857739256
0.0019000000000000002,-0.0016145571123393444
0.0019200000000000003,0.002087263948530143
0.00194,-0.013981249495191122
0.0019600000000000004,-0.026854561920567937
0.00198,-0.025748837080633503
0.002,-0.02114833827485022
0.00202,-0.012453994118304907
0.00204,-0.02213207672526481
0.00206,-0.0033528409208328277
0.0020800000000000003,-0.005042893477894094
0.0021000000000000003,-0.024007023103688834
0.0021200000000000004,-0.024199320868851164
0.00214,-0.011111535224116554
0.00216,-0.0016183371503919039
0.00218,-0.007901485526836532
0.0022,-0.01448417240006613
0.00222,-0.017472247511511607
0.0022400000000000002,-0.0030863835863437624
0.0022600000000000003,-0.006174302080581758
0.0022800000000000003,-0.013855320047510535
0.0023000000000000004,-0.011850861707657699
0.00232,-0.012642214181329435
0.00234,-0.007342697460076429
0.00236,-0.005038682010568233
0.00238,-0.008725658859165465
0.0024000000000000002,-0.018203967345559128
0.0024200000000000003,-0.021691244411138358
0.0024400000000000003,-0.015093649336157028
0.0024600000000000004,-0.004302341295962142
0.00248,0.0053906217198999495
